iter	Passed	Remaining
1551	48405	107540
1552	48435	107506
1553	48463	107468
1554	48496	107441
1555	48529	107413
1556	48559	107378
1557	48593	107354
1558	48630	107337
1559	48659	107300
1560	48692	107272
1561	48724	107243
1562	48756	107213
1563	48795	107201
1564	48828	107172
1565	48859	107142
1566	48890	107109
1567	48921	107079
1568	48954	107051
1569	48987	107024
1570	49013	106982
1571	49046	106953
1572	49077	106923
1573	49107	106889
1574	49139	106858
1575	49173	106832
1576	49208	106811
1577	49240	106780
1578	49269	106745
1579	49299	106710
1580	49329	106677
1581	49364	106655
1582	49397	106627
1583	49430	106599
1584	49462	106571
1585	49496	106545
1586	49525	106508
1587	49557	106479
1588	49586	106444
1589	49612	106400
1590	49641	106364
1591	49674	106338
1592	49707	106310
1593	49736	106275
1594	49762	106232
1595	49792	106198
1596	49823	106167
1597	49852	106132
1598	49885	106103
1599	49913	106066
1600	49944	106035
1601	49976	106006
1602	50009	105978
1603	50040	105946
1604	50071	105914
1605	50102	105881
1606	50133	105851
1607	50163	105817
1608	50195	105787
1609	50224	105753
1610	50253	105716
1611	50287	105691
1612	50312	105647
1613	50344	105617
1614	50374	105582
1615	50407	105556
1616	50440	105529
1617	50472	105499
1618	50497	105454
1619	50529	105424
1620	50563	105400
1621	50591	105362
1622	50621	105328
1623	50652	105297
1624	50684	105268
1625	50716	105238
1626	50750	105212
1627	50781	105180
1628	50806	105137
1629	50838	105107
1630	50871	105080
1631	50904	105051
1632	50933	105016
1633	50963	104984
1634	50993	104949
1635	51025	104921
1636	51056	104889
1637	51086	104855
1638	51119	104828
1639	51152	104800
1640	51186	104774
1641	51218	104745
1642	51252	104719
1643	51285	104692
1644	51315	104658
1645	51346	104627
1646	51377	104596
1647	51408	104563
1648	51440	104533
1649	51475	104511
1650	51509	104484
1651	51539	104451
1652	51569	104418
1653	51602	104389
1654	51641	104375
1655	51674	104346
1656	51704	104314
1657	51741	104294
1658	51777	104271
1659	51808	104241
1660	51839	104209
1661	51872	104181
1662	51902	104148
1663	51931	104113
1664	51964	104085
1665	51996	104055
